date	YEAR	EVENT_TYPE	ACTOR1	INTER1	ACTOR2	INTER2	INTERACTION	COUNTRY	ADM_LEVEL_1	ADM_LEVEL_2	LOCATION	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	geo	lat	latlong
1/1/2015	2015	Battle-No change of territory	Unidentified Armed Group (Burundi)	3	Military Forces of Burundi (2005-)	1	13	Burundi	Cibitoke	Murwi	Murwi	-2.8861	29.2028	1	RPA; Radio France Internationale; Voix du Burundi	21	1	-2.88611	"-2.88611,29.2028"
1/1/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Kayanza	Kayanza	Kayanza	-2.9222	29.6222	3	RPA	0	2	-2.92222	"-2.92222,29.6222"
2/1/2015	2015	Battle-No change of territory	Unidentified Armed Group (Burundi)	3	Military Forces of Burundi (2005-)	1	13	Burundi	Cibitoke	Bukinanyana	Gahabura	-2.9	29.2875	1	RPA; Radio France Internationale; Voix du Burundi	21	3	-2.93	"-2.93,29.2875"
2/1/2015	2015	Battle-No change of territory	Unidentified Armed Group (Burundi)	3	Military Forces of Burundi (2005-)	1	13	Burundi	Cibitoke	Murwi	Murwi	-2.8861	29.2028	1	RPA; Radio France Internationale; Voix du Burundi	21	4	-2.88614	"-2.88614,29.2028"
4/1/2015	2015	Violence against civilians	Unidentified Armed Group (Burundi)	3	Civilians (Burundi)	7	37	Burundi	Ruyigi	Ruyigi	Ruyigi	-3.4797	30.2297	1	Xinhua News Agency - French	3	5	-3.47975	"-3.47975,30.2297"
11/1/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse	0	6	-3.37726	"-3.37726,29.358"
15/01/2015	2015	Non-violent activity by a conflict actor	Police Forces of Burundi (2005-)	1	Civilians (Burundi)	7	17	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse -- English	0	7	-3.37727	"-3.37727,29.358"
17/01/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Radio France Internationale	0	8	-3.37728	"-3.37728,29.358"
20/01/2015	2015	Non-violent activity by a conflict actor	Police Forces of Burundi (2005-)	1	Civilians (Burundi)	7	17	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse - English; Radio France Internationale	0	9	-3.37729	"-3.37729,29.358"
21/01/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Radio France Internationale	0	10	-3.377210	"-3.377210,29.358"
26/01/2015	2015	Riots/Protests	Protesters (Burundi)	6	Police Forces of Burundi (2005-)	1	16	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Africa News	0	11	-3.377211	"-3.377211,29.358"
27/01/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Deutsche Welle	0	12	-3.377212	"-3.377212,29.358"
27/01/2015	2015	Battle-No change of territory	Police Forces of Burundi (2005-)	1	Unidentified Armed Group (Democratic Republic of Congo)	3	13	Burundi	Cibitoke	Rugombo	Cibitoke	-2.8947	29.1139	2	Radio Publique Africaine; Radio France Internationale	23	13	-2.894713	"-2.894713,29.1139"
28/01/2015	2015	Battle-No change of territory	Police Forces of Burundi (2005-)	1	Unidentified Armed Group (Democratic Republic of Congo)	3	13	Burundi	Cibitoke	Rugombo	Cibitoke	-2.8947	29.1139	2	Radio Publique Africaine; Radio France Internationale	24	14	-2.894714	"-2.894714,29.1139"
29/01/2015	2015	Battle-No change of territory	Police Forces of Burundi (2005-)	1	Unidentified Armed Group (Democratic Republic of Congo)	3	13	Burundi	Cibitoke	Rugombo	Cibitoke	-2.8947	29.1139	2	Radio Publique Africaine; Radio France Internationale	24	15	-2.894715	"-2.894715,29.1139"
30/01/2015	2015	Battle-No change of territory	Police Forces of Burundi (2005-)	1	Unidentified Armed Group (Democratic Republic of Congo)	3	13	Burundi	Cibitoke	Rugombo	Cibitoke	-2.8947	29.1139	2	Radio Publique Africaine; Radio France Internationale	24	16	-2.894716	"-2.894716,29.1139"
3/2/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse	0	17	-3.377217	"-3.377217,29.358"
4/2/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Radio France Internationale	0	18	-3.377218	"-3.377218,29.358"
18/02/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse - English	0	19	-3.377219	"-3.377219,29.358"
19/02/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Radio France Internationale; Agence France Presse - English	0	20	-3.377220	"-3.377220,29.358"
24/02/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Makamba	Nyanza-Lac	Buheka	-4.22071	29.62198	1	Voix du Burundi	0	21	-4.2207121	"-4.2207121,29.62198"
28/02/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse -- English	0	22	-3.377222	"-3.377222,29.358"
3/3/2015	2015	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Civilians (Burundi)	7	37	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Voix du Burundi	0	23	-3.377223	"-3.377223,29.358"
4/3/2015	2015	Non-violent activity by a conflict actor	Unidentified Armed Group (Burundi)	3	Civilians (Burundi)	7	37	Burundi	Bubanza	Gihanga	Gihanga	-3.1875	29.2933	1	Voix du Burundi	0	24	-3.187524	"-3.187524,29.2933"
5/3/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Radio France Internationale; Agence France Presse	0	25	-3.377225	"-3.377225,29.358"
8/3/2015	2015	Battle-No change of territory	Unidentified Armed Group (Burundi)	3	Military Forces of Burundi (2005-)	1	13	Burundi	Ruyigi	Butaganzwa2	Rukoko	-3.5536	30.1108	1	Xinhua General News Service	0	26	-3.553626	"-3.553626,30.1108"
14/03/2015	2015	Violence against civilians	Unidentified Armed Group (Burundi)	3	Civilians (Burundi)	7	37	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse	0	27	-3.377227	"-3.377227,29.358"
28/03/2015	2015	Violence against civilians	Ndombolo Militia	3	Civilians (Burundi)	7	37	Burundi	Bubanza	Gihanga	Buringa	-3.2778	29.2803	1	Voix du Burundi	0	28	-3.277828	"-3.277828,29.2803"
1/4/2015	2015	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Civilians (Burundi)	7	37	Burundi	Kirundo	Kirundo	Kirundo	-2.5842	30.0972	2	The New Times (Kigali); Radio Publique Africaine; Relief Web	0	29	-2.584229	"-2.584229,30.0972"
10/4/2015	2015	Non-violent activity by a conflict actor	Unidentified Armed Group (Burundi)	3	Civilians (Burundi)	7	37	Burundi	Bujumbura Mairie	Musaga	Musaga	-3.4158	29.375	1	Voix du Burundi	0	30	-3.415830	"-3.415830,29.375"
11/4/2015	2015	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Civilians (Burundi)	7	37	Burundi	Bubanza	Gihanga	Gihanga	-3.1875	29.2933	1	Voix du Burundi	0	31	-3.187531	"-3.187531,29.2933"
11/4/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Jeune Afrique	0	32	-3.377232	"-3.377232,29.358"
