date	YEAR	TIME_PRECISION	EVENT_TYPE	INTER2	INTERACTION	COUNTRY	ADM_LEVEL_1	ADM_LEVEL_2	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	pro1	pro2	latlong
27/07/1997	1997	1	Violence against civilians	7	27	Algeria	Blida	Blida	36.4686	2.8289	1	Justice Commission for Algeria	36	1	36.46860001	"36.46860001,2.8289"
11/1/1998	1998	1	Violence against civilians	7	27	Algeria	Relizane	Sidi M'Hamed Benaouda	35.6033	0.5897	1	Justice Commission for Algeria	103	2	35.60330002	"35.60330002,0.5897"
23/02/2000	2000	2	Battle-No change of territory	2	12	Algeria	El Bayadh	El Bayadh	33.6861	1.0139	1	The Times (London)	5	3	33.68610003	"33.68610003,1.0139"
4/1/2003	2003	1	Violence against civilians	7	27	Algeria	Blida	Blida	36.48219	2.79502	1	Justice Commission for Algeria	17	4	36.48219	"36.482190004,2.79502"
7/1/2003	2003	1	Violence against civilians	7	27	Algeria	Chlef	Chlef	36.1647	1.3347	2	Justice Commission for Algeria	5	5	36.16470005	"36.16470005,1.3347"
25/02/2003	2003	1	Violence against civilians	7	27	Algeria	Tipaza	Tipaza	36.58972	2.4475	2	Justice Commission for Algeria	12	6	36.58972001	"36.589720006,2.4475"
26/03/2003	2003	1	Violence against civilians	7	27	Algeria	Blida	Bouarfa	36.40016	2.76601	1	Justice Commission for Algeria	4	7	36.40016001	"36.400160007,2.76601"
26/03/2003	2003	1	Violence against civilians	7	27	Algeria	Blida	Meftah	36.62041	3.22248	1	Justice Commission for Algeria	9	8	36.62041001	"36.620410008,3.22248"
27/03/2003	2003	1	Violence against civilians	7	27	Algeria	Relizane	Oued Rhiou	35.96206	0.91517	1	Justice Commission for Algeria	8	9	35.96206001	"35.962060009,0.91517"
2/4/2003	2003	1	Violence against civilians	7	27	Algeria	Skikda	Azzaba	36.72259	7.15422	1	Justice Commission for Algeria	3	10	36.72259001	"36.722590010,7.15422"
