EVENT_DATE,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,ACTOR2,ALLY_ACTOR_2,COUNTRY,ADM_LEVEL_1,ADM_LEVEL_2,SOURCE,NOTES,FATALITIES
1/1/2015,Battle-No change of territory,Unidentified Armed Group (Burundi),,Military Forces of Burundi (2005-),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Burundi,Cibitoke,Murwi,RPA; Radio France Internationale; Voix du Burundi,"Fighting between unidentified attackers believed to be from the DRC and the Burundian army as well as associated paramilitary forces, including the Imbonerakure (from Jan.1-2), between Dec.30-Jan.2 has resulted in between 99 total deaths, with 95 attackers killed and 9 captured by Burundian military forces, 2 Burundian soldiers killed, and 2 civilians dead. RPA reports that some of the attackers have been executed after surrendering their weapons by suspected Imbonerakure youths, although the government has denied this.",21
1/1/2015,Riots/Protests,Rioters (Burundi),Unidentified Communal Group (Burundi),Police Forces of Burundi (2005-),,Burundi,Kayanza,Kayanza,RPA,"Followers of Euzebie, ""who claims to have seen divine apparations"", engaged in a ""scuffle"" with police, leading to at least 62 arrests. 6 police were injured during the fight.",0
2/1/2015,Battle-No change of territory,Unidentified Armed Group (Burundi),,Military Forces of Burundi (2005-),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Burundi,Cibitoke,Bukinanyana,RPA; Radio France Internationale; Voix du Burundi,"Fighting between unidentified attackers believed to be from the DRC and the Burundian army as well as associated paramilitary forces, including the Imbonerakure (from Jan.1-2), between Dec.30-Jan.2 has resulted in between 99 total deaths, with 95 attackers killed and 9 captured by Burundian military forces, 2 Burundian soldiers killed, and 2 civilians dead. RPA reports that some of the attackers have been executed after surrendering their weapons by suspected Imbonerakure youths, although the government has denied this.",21
2/1/2015,Battle-No change of territory,Unidentified Armed Group (Burundi),,Military Forces of Burundi (2005-),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Burundi,Cibitoke,Murwi,RPA; Radio France Internationale; Voix du Burundi,"Fighting between unidentified attackers believed to be from the DRC and the Burundian army as well as associated paramilitary forces, including the Imbonerakure (from Jan.1-2), between Dec.30-Jan.2 has resulted in between 99 total deaths, with 95 attackers killed and 9 captured by Burundian military forces, 2 Burundian soldiers killed, and 2 civilians dead. RPA reports that some of the attackers have been executed after surrendering their weapons by suspected Imbonerakure youths, although the government has denied this.",21
4/1/2015,Violence against civilians,Unidentified Armed Group (Burundi),,Civilians (Burundi),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Burundi,Ruyigi,Ruyigi,Xinhua News Agency - French,"An unidentified armed group of 5 people armed with AK47 rifles attacked Kagumwe hill in Ruyigi province. They killed 3 people and burned down the local Imbonerakure HQ. The victims were tied up before being shot, and one of them was the director of the primary school.",3
11/1/2015,Riots/Protests,Protesters (Burundi),,,,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse,Several hundred people demonstrated in front of the Embassy of France in solidarity with the people of France following the Charlie Hebdo attack.,0
15/01/2015,Non-violent activity by a conflict actor,Police Forces of Burundi (2005-),,Civilians (Burundi),FRODEBU: Front for Democracy in Burundi,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse -- English,The youth leader of FRODEBU was arested allegedly for connection to rebels that attacked Citiboke.,0
17/01/2015,Riots/Protests,Protesters (Burundi),Government of Burundi (2005-),,,Burundi,Bujumbura Mairie,Buyenze,Radio France Internationale,"Around 2,000 people demonstrated in favor of the country's security forces; some may have been paid by the government to participate. Opposition parties did not take part.",0
20/01/2015,Non-violent activity by a conflict actor,Police Forces of Burundi (2005-),,Civilians (Burundi),Journalists (Burundi),Burundi,Bujumbura Mairie,Buyenze,Agence France Presse - English; Radio France Internationale,"Police arrested Bob Rugurika, the head of a key opposition radio station (RPA: Radio Publique Africaine) who broadcast an alleged confession of a person who murdered three Italian nuns in September.",0
21/01/2015,Riots/Protests,Protesters (Burundi),,,,Burundi,Bujumbura Mairie,Buyenze,Radio France Internationale,"A protest was held in front of the courthouse where a trial took place against Bob Rugurika, the director of the RPA Radio Station",0
26/01/2015,Riots/Protests,Protesters (Burundi),,Police Forces of Burundi (2005-),,Burundi,Bujumbura Mairie,Buyenze,Africa News,"Almost 30 people people demonstrated against Bob Rugurika, the African Public Radio director who was recently arrested after accusing Guillame Harushimana of killing three nuns last September. Police stood by and later asked the protesters to leave.",0
27/01/2015,Riots/Protests,Protesters (Burundi),,,,Burundi,Bujumbura Mairie,Buyenze,Deutsche Welle,"Dozens protested on ""Green Tuesday"" demanding the release of Bob Rugurika, a radio station director who was recently arrested for broadcasting alleged testimony regarding the September 2014 murder of three nuns.",0
