date,EVENT_TYPE,COUNTRY,ADM_LEVEL_1,ADM_LEVEL_2,FATALITIES
1/1/2015,Battle-No change of territory,Burundi,Cibitoke,Murwi,21
1/1/2015,Riots/Protests,Burundi,Kayanza,Kayanza,0
2/1/2015,Battle-No change of territory,Burundi,Cibitoke,Bukinanyana,21
2/1/2015,Battle-No change of territory,Burundi,Cibitoke,Murwi,21
4/1/2015,Violence against civilians,Burundi,Ruyigi,Ruyigi,3
11/1/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
15/01/2015,Non-violent activity by a conflict actor,Burundi,Bujumbura Mairie,Buyenze,0
17/01/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
20/01/2015,Non-violent activity by a conflict actor,Burundi,Bujumbura Mairie,Buyenze,0
21/01/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
26/01/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
27/01/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
27/01/2015,Battle-No change of territory,Burundi,Cibitoke,Rugombo,23
28/01/2015,Battle-No change of territory,Burundi,Cibitoke,Rugombo,24
29/01/2015,Battle-No change of territory,Burundi,Cibitoke,Rugombo,24
30/01/2015,Battle-No change of territory,Burundi,Cibitoke,Rugombo,24
3/2/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
4/2/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
18/02/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
19/02/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
24/02/2015,Riots/Protests,Burundi,Makamba,Nyanza-Lac,0
28/02/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
1/3/2015,Non-violent activity by a conflict actor,Burundi,Bujumbura Mairie,Buyenze,0
3/3/2015,Violence against civilians,Burundi,Bujumbura Mairie,Buyenze,0
4/3/2015,Non-violent activity by a conflict actor,Burundi,Bubanza,Gihanga,0
5/3/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
8/3/2015,Battle-No change of territory,Burundi,Ruyigi,Butaganzwa2,0
14/03/2015,Violence against civilians,Burundi,Bujumbura Mairie,Buyenze,0
28/03/2015,Violence against civilians,Burundi,Bubanza,Gihanga,0
1/4/2015,Violence against civilians,Burundi,Kirundo,Kirundo,0
10/4/2015,Non-violent activity by a conflict actor,Burundi,Bujumbura Mairie,Musaga,0
11/4/2015,Violence against civilians,Burundi,Bubanza,Gihanga,0
11/4/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
15/04/2015,Violence against civilians,Burundi,Cibitoke,Mugina,0
17/04/2015,Riots/Protests,Burundi,Bujumbura,Buyenze,0
18/04/2015,Non-violent activity by a conflict actor,Burundi,Bujumbura,Buyenze,0
18/04/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
19/04/2015,Violence against civilians,Burundi,Kirundo,Kirundo,0
21/04/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
26/04/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,3
27/04/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,3
27/04/2015,Violence against civilians,Burundi,Bujumbura Mairie,Buyenze,0
27/04/2015,Non-violent activity by a conflict actor,Burundi,Cibitoke,Rugombo,0
27/04/2015,Riots/Protests,Burundi,Muyinga,Muyinga,0
28/04/2015,Non-violent activity by a conflict actor,Burundi,Bujumbura Mairie,Buyenze,0
28/04/2015,Violence against civilians,Burundi,Bujumbura Mairie,Buyenze,0
28/04/2015,Riots/Protests,Burundi,Gitega,Gitega,0
29/04/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
30/04/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,1
30/04/2015,Violence against civilians,Burundi,Bujumbura Mairie,Buyenze,0
1/5/2015,Battle-No change of territory,Burundi,Bujumbura Mairie,Buyenze,0
1/5/2015,Battle-No change of territory,Burundi,Bujumbura Mairie,Gihosha,3
1/5/2015,Riots/Protests,Burundi,Bujumbura Mairie,Buyenze,0
1/5/2015,Riots/Protests,Burundi,Bururi,Matana,0
11/3/2015,Battle-No change of territory,Eritrea,Anseba,Asmara City,0
14/03/2015,Battle-No change of territory,Eritrea,Gash Barka,La`Elay Gash,10
20/03/2015,Remote violence,Eritrea,Debub,,0
20/03/2015,Remote violence,Eritrea,Gash Barka,Barentu,0
20/03/2015,Remote violence,Eritrea,Gash Barka,Dghe,0
15/01/2015,Non-violent activity by a conflict actor,Ethiopia,Addis Ababa,Zone 5,0
25/01/2015,Violence against civilians,Ethiopia,Addis Ababa,Zone 5,0
1/3/2015,Non-violent activity by a conflict actor,Ethiopia,Addis Ababa,Zone 5,0
22/04/2015,Riots/Protests,Ethiopia,Addis Ababa,Zone 5,0
31/12/2014,Violence against civilians,Kenya,Eastern,Embu,1
3/1/2015,Riots/Protests,Kenya,Rift Valley,Bomet,0
4/1/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
5/1/2015,Riots/Protests,Kenya,Nyanza,Kisumu,0
5/1/2015,Battle-No change of territory,Kenya,Rift Valley,Baringo,1
6/1/2015,Riots/Protests,Kenya,Central,Muranga,0
6/1/2015,Riots/Protests,Kenya,Eastern,Machakos,0
7/1/2015,Riots/Protests,Kenya,Eastern,Meru,0
7/1/2015,Riots/Protests,Kenya,Rift Valley,Laikipia,0
8/1/2015,Riots/Protests,Kenya,Eastern,Kitui,0
8/1/2015,Riots/Protests,Kenya,Rift Valley,Naivasha,0
9/1/2015,Violence against civilians,Kenya,Rift Valley,Nakuru,0
11/1/2015,Battle-No change of territory,Kenya,Coast,Mombasa,1
12/1/2015,Riots/Protests,Kenya,Rift Valley,Bomet,0
12/1/2015,Riots/Protests,Kenya,Rift Valley,Nandi,0
12/1/2015,Violence against civilians,Kenya,Rift Valley,West Pokot,1
12/1/2015,Violence against civilians,Kenya,Rift Valley,Bungoma ,1
13/01/2015,Riots/Protests,Kenya,Nairobi,Nairobi,0
