GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	ACTOR1	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	latlong
516	3029BUI	10412	01/01/2015	2015	1	Battle-No change of territory	Unidentified Armed Group (Burundi)		3	Military Forces of Burundi (2005-)	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	1	13	Burundi	Cibitoke	Murwi	Murwi	Murwi	-2.88610	29.20280	1	RPA; Radio France Internationale; Voix du Burundi	21	"-2.8861,29.2028"
516	3028BUI	10413	01/01/2015	2015	1	Riots/Protests	Rioters (Burundi)	Unidentified Communal Group (Burundi)	5	Police Forces of Burundi (2005-)		1	15	Burundi	Kayanza	Kayanza	Centre-Urbain	Kayanza	-2.92220	29.62220	3	RPA	0	"-2.9222,29.6222"
516	3030BUI	10414	02/01/2015	2015	1	Battle-No change of territory	Unidentified Armed Group (Burundi)		3	Military Forces of Burundi (2005-)	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	1	13	Burundi	Cibitoke	Bukinanyana	Gahabura	Gahabura	-2.90000	29.28750	1	RPA; Radio France Internationale; Voix du Burundi	21	"-2.9,29.2875"
516	3031BUI	10415	02/01/2015	2015	1	Battle-No change of territory	Unidentified Armed Group (Burundi)		3	Military Forces of Burundi (2005-)	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	1	13	Burundi	Cibitoke	Murwi	Murwi	Murwi	-2.88610	29.20280	1	RPA; Radio France Internationale; Voix du Burundi	21	"-2.8861,29.2028"
516	3032BUI	10416	04/01/2015	2015	1	Violence against civilians	Unidentified Armed Group (Burundi)		3	Civilians (Burundi)	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	7	37	Burundi	Ruyigi	Ruyigi	Ruyigi	Ruyigi	-3.47970	30.22970	1	Xinhua News Agency - French	3	"-3.4797,30.2297"
516	3033BUI	10417	11/01/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse	0	"-3.3772,29.358"
516	3034BUI	10418	15/01/2015	2015	1	Strategic development	Police Forces of Burundi (2005-)		1	Civilians (Burundi)	FRODEBU: Front for Democracy in Burundi	7	17	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse -- English	0	"-3.3772,29.358"
516	3035BUI	10419	17/01/2015	2015	1	Riots/Protests	Protesters (Burundi)	Government of Burundi (2005-)	6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Radio France Internationale	0	"-3.3772,29.358"
516	3036BUI	10420	20/01/2015	2015	1	Strategic development	Police Forces of Burundi (2005-)		1	Civilians (Burundi)	Journalists (Burundi)	7	17	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse - English; Radio France Internationale	0	"-3.3772,29.358"
516	3037BUI	10421	21/01/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Radio France Internationale	0	"-3.3772,29.358"
516	3038BUI	10422	26/01/2015	2015	1	Riots/Protests	Protesters (Burundi)		6	Police Forces of Burundi (2005-)		1	16	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Africa News	0	"-3.3772,29.358"
516	3039BUI	10423	27/01/2015	2015	1	Battle-No change of territory	Police Forces of Burundi (2005-)	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	1	Unidentified Armed Group (Democratic Republic of Congo)		3	13	Burundi	Cibitoke	Rugombo	Centre Urbain	Cibitoke	-2.89470	29.11390	2	Radio Publique Africaine; Radio France Internationale	23	"-2.8947,29.1139"
516	3040BUI	10424	27/01/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Deutsche Welle	0	"-3.3772,29.358"
516	3041BUI	10425	28/01/2015	2015	1	Battle-No change of territory	Police Forces of Burundi (2005-)	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	1	Unidentified Armed Group (Democratic Republic of Congo)		3	13	Burundi	Cibitoke	Rugombo	Centre Urbain	Cibitoke	-2.89470	29.11390	2	Radio Publique Africaine; Radio France Internationale	24	"-2.8947,29.1139"
516	3042BUI	10426	29/01/2015	2015	1	Battle-No change of territory	Police Forces of Burundi (2005-)	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	1	Unidentified Armed Group (Democratic Republic of Congo)		3	13	Burundi	Cibitoke	Rugombo	Centre Urbain	Cibitoke	-2.89470	29.11390	2	Radio Publique Africaine; Radio France Internationale	24	"-2.8947,29.1139"
516	3043BUI	10427	30/01/2015	2015	1	Battle-No change of territory	Police Forces of Burundi (2005-)	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	1	Unidentified Armed Group (Democratic Republic of Congo)		3	13	Burundi	Cibitoke	Rugombo	Centre Urbain	Cibitoke	-2.89470	29.11390	2	Radio Publique Africaine; Radio France Internationale	24	"-2.8947,29.1139"
516	3044BUI	10428	03/02/2015	2015	1	Riots/Protests	Protesters (Burundi)	Journalists (Burundi)	6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse	0	"-3.3772,29.358"
516	3045BUI	10429	04/02/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Radio France Internationale	0	"-3.3772,29.358"
516	3046BUI	10430	18/02/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse - English	0	"-3.3772,29.358"
516	3047BUI	10431	19/02/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Radio France Internationale; Agence France Presse - English	0	"-3.3772,29.358"
516	3048BUI	10432	24/02/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Makamba	Nyanza-Lac	Nyanza	Buheka	-4.22071	29.62198	1	Voix du Burundi	0	"-4.220706,29.621976"
516	3049BUI	10433	28/02/2015	2015	1	Riots/Protests	Protesters (Burundi)	Government of Burundi (2005-)	6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse -- English	0	"-3.3772,29.358"
516	3050BUI	10434	03/03/2015	2015	2	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)		3	Civilians (Burundi)		7	37	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	2	Voix du Burundi	0	"-3.3772,29.358"
516	3051BUI	10435	04/03/2015	2015	1	Strategic development	Unidentified Armed Group (Burundi)		3	Civilians (Burundi)		7	37	Burundi	Bubanza	Gihanga	Gihanga	Gihanga	-3.18750	29.29330	1	Voix du Burundi	0	"-3.1875,29.2933"
516	3052BUI	10436	05/03/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Radio France Internationale; Agence France Presse	0	"-3.3772,29.358"
516	3053BUI	10437	08/03/2015	2015	1	Battle-No change of territory	Unidentified Armed Group (Burundi)		3	Military Forces of Burundi (2005-)		1	13	Burundi	Ruyigi	Butaganzwa2	Gishubi	Rukoko	-3.55360	30.11080	1	Xinhua General News Service	0	"-3.5536,30.1108"
516	3054BUI	10438	14/03/2015	2015	1	Violence against civilians	Unidentified Armed Group (Burundi)		3	Civilians (Burundi)	FNL: National Forces of Liberation	7	37	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse	0	"-3.3772,29.358"
516	3055BUI	10439	28/03/2015	2015	2	Violence against civilians	Ndombolo Militia	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Civilians (Burundi)		7	37	Burundi	Bubanza	Gihanga	Buringa	Buringa	-3.27780	29.28030	1	Voix du Burundi	0	"-3.2778,29.2803"
516	3056BUI	10440	01/04/2015	2015	2	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)		3	Civilians (Burundi)	Tutsi Ethnic Group (Burundi)	7	37	Burundi	Kirundo	Kirundo	Centre-Urbain	Kirundo	-2.58420	30.09720	2	The New Times (Kigali); Radio Publique Africaine; Relief Web	0	"-2.5842,30.0972"
516	3057BUI	10441	10/04/2015	2015	1	Strategic development	Unidentified Armed Group (Burundi)		3	Civilians (Burundi)	Journalists (Burundi)	7	37	Burundi	Bujumbura Mairie	Musaga	N.A. (20)	Musaga	-3.41580	29.37500	1	Voix du Burundi	0	"-3.4158,29.375"
516	3059BUI	10442	11/04/2015	2015	1	Riots/Protests	Protesters (Burundi)	CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy	6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Jeune Afrique	0	"-3.3772,29.358"
516	3058BUI	10443	11/04/2015	2015	1	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)		3	Civilians (Burundi)		7	37	Burundi	Bubanza	Gihanga	Gihanga	Gihanga	-3.18750	29.29330	1	Voix du Burundi	0	"-3.1875,29.2933"
516	3060BUI	10444	15/04/2015	2015	2	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)		3	Civilians (Burundi)	UPRONA: Union for National Progress	7	37	Burundi	Cibitoke	Mugina	Rugazo	Mugina	-2.75560	29.10690	1	Voix du Burundi	0	"-2.7556,29.1069"
516	3061BUI	10445	17/04/2015	2015	1	Riots/Protests	Police Forces of Burundi (2005-)		1	Rioters (Burundi)	FRODEBU: Front for Democracy in Burundi; MSD: Movement for Solidarity and Democracy; CNDD: National Council for Democracy and Development	5	15	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse; Xinhua General News Service	0	"-3.3772,29.358"
516	3063BUI	10446	18/04/2015	2015	1	Riots/Protests	Protesters (Burundi)	MSD: Movement for Solidarity and Democracy	6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Voix du Burundi	0	"-3.3772,29.358"
516	3062BUI	10447	18/04/2015	2015	1	Strategic development	Government of Burundi (2005-)		1	Protesters (Burundi)		6	16	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse	0	"-3.3772,29.358"
516	3064BUI	10448	19/04/2015	2015	2	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)		3	Civilians (Burundi)		7	37	Burundi	Kirundo	Kirundo	Centre-Urbain	Kirundo	-2.58420	30.09720	2	The New Times (Kigali); Radio France Internationale	0	"-2.5842,30.0972"
516	3065BUI	10449	21/04/2015	2015	1	Riots/Protests	Protesters (Burundi)	Students (Burundi)	6	Police Forces of Burundi (2005-)		1	16	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Radio France Internationale; Xinhua General News Service	0	"-3.3772,29.358"
516	3066BUI	10450	26/04/2015	2015	1	Riots/Protests	Police Forces of Burundi (2005-)		1	Rioters (Burundi)		5	15	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	2	Agence France Presse	3	"-3.3772,29.358"
516	3068BUI	10451	27/04/2015	2015	1	Riots/Protests	Rioters (Burundi)	Students (Burundi)	5	Police Forces of Burundi (2005-)		1	15	Burundi	Muyinga	Muyinga	Muyinga	Muyinga	-2.84348	30.34180	1	Radio France Internationale	0	"-2.843475,30.341799"
516	3069BUI	10452	27/04/2015	2015	1	Riots/Protests	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	Police Forces of Burundi (2005-)	3	Rioters (Burundi)		5	35	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	2	Agence France Presse - English	3	"-3.3772,29.358"
516	3067BUI	10453	27/04/2015	2015	1	Strategic development	Government of Burundi (2005-)		1	Civilians (Rwanda)		7	17	Burundi	Cibitoke	Rugombo	Bugarama	Rugombo	-2.73284	29.04193	1	News of Rwanda	0	"-2.732842,29.041929"
516	3070BUI	10454	27/04/2015	2015	1	Violence against civilians	Police Forces of Burundi (2005-)		1	Civilians (Burundi)	Journalists (Burundi)	7	17	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse - English; Agence France Presse	0	"-3.3772,29.358"
516	3071BUI	10455	28/04/2015	2015	1	Riots/Protests	Protesters (Burundi)	Students (Burundi)	6	Police Forces of Burundi (2005-)		1	16	Burundi	Gitega	Gitega	Centre-Urbain	Gitega	-3.42250	29.93810	1	Radio France Internationale	0	"-3.4225,29.9381"
516	3072BUI	10456	28/04/2015	2015	1	Strategic development	Protesters (Burundi)		6	Interahamwe Militia		3	36	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	2	Xinhua General News Service	0	"-3.3772,29.358"
516	3073BUI	10457	28/04/2015	2015	1	Violence against civilians	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)		3	Protesters (Burundi)		6	36	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	2	Isanganiro Radio	0	"-3.3772,29.358"
516	3074BUI	10458	29/04/2015	2015	1	Riots/Protests	Police Forces of Burundi (2005-)	Military Forces of Burundi (2005-)	1	Rioters (Burundi)		5	15	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	2	Agence France Presse	0	"-3.3772,29.358"
516	3075BUI	10459	30/04/2015	2015	1	Riots/Protests	Police Forces of Burundi (2005-)		1	Rioters (Burundi)		5	15	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	2	Isanganiro Radio; Associated Press International; Agence France Presse - English; Agence France Presse	1	"-3.3772,29.358"
516	3076BUI	10460	30/04/2015	2015	2	Violence against civilians	Prison Guards (Burundi)		1	Prisoners (Burundi)	Protesters (Burundi)	7	17	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse - English	0	"-3.3772,29.358"
516	3079BUI	10461	01/05/2015	2015	1	Battle-No change of territory	Unidentified Armed Group (Burundi)		3	Police Forces of Burundi (2005-)		1	13	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Agence France Presse - English; Xinhua General News Service	0	"-3.3772,29.358"
516	3078BUI	10462	01/05/2015	2015	1	Battle-No change of territory	Unidentified Armed Group (Burundi)		3	Police Forces of Burundi (2005-)	Civilians (Burundi)	1	13	Burundi	Bujumbura Mairie	Gihosha	N.A. (11)	Kamenge	-3.35970	29.39360	1	Agence France Presse - English; Xinhua General News Service	3	"-3.3597,29.3936"
516	3080BUI	10463	01/05/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	2	Agence France Presse	0	"-3.3772,29.358"
516	3077BUI	10464	01/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bururi	Matana	Mugano	Matana	-3.75390	29.66830	1	Agence France Presse	0	"-3.7539,29.6683"
516	3081BUI	10465	03/05/2015	2015	2	Strategic development	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)		3	Civilians (Burundi)		7	37	Burundi	Kirundo	Kirundo	Centre-Urbain	Kirundo	-2.58420	30.09720	2	Thomson Reuters Foundation	0	"-2.5842,30.0972"
516	3083BUI	10466	04/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Musaga	N.A. (20)	Musaga	-3.41580	29.37500	1	Xinhua General News Service; Associated Press International	3	"-3.4158,29.375"
516	3089BUI	10467	04/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Kinindo		Kinondo	-3.40653	29.35421	1	Xinhua General News Service	0	"-3.406532,29.354208"
516	3084BUI	10468	04/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Nyakabiga	N.A. (25)	Nyakabiga	-3.37330	29.37670	1	Radio Isanganiro website; Associated Press International	0	"-3.3733,29.3767"
516	3082BUI	10469	04/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Kinama	N.A. (16)	Cibitoke	-3.33630	29.37880	1	Radio Isanganiro website; Associated Press International	0	"-3.3363,29.3788"
516	3086BUI	10470	04/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Buterere	N.A. (4)	Mutakura	-3.34080	29.36030	1	Radio Isanganiro website; Associated Press International	0	"-3.3408,29.3603"
516	3085BUI	10471	04/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Buterere	N.A. (4)	Buterere	-3.33330	29.33330	1	Radio Isanganiro website; Associated Press International	0	"-3.3333,29.3333"
516	3087BUI	10472	04/05/2015	2015	1	Violence against civilians	Protesters (Burundi)		6	Police Forces of Burundi (2005-)		1	16	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Xinhua General News Service	0	"-3.3772,29.358"
516	3088BUI	10473	04/05/2015	2015	1	Violence against civilians	Protesters (Burundi)		6	Police Forces of Burundi (2005-)		1	16	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Ntahangwa	-3.36910	29.34080	1	Xinhua General News Service	0	"-3.3691,29.3408"
516	3090BUI	10474	05/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Ngagara	N.A. (24)	Ngagara	-3.35270	29.37000	1	Xinhua General News Service	0	"-3.3527,29.37"
516	3092BUI	10475	05/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Kigobe		Kigobe	-3.36462	29.38792	1	Xinhua General News Service	0	"-3.364618,29.387915"
516	3091BUI	10476	05/05/2015	2015	2	Violence against civilians	Prison Guards (Burundi)		1	Prisoners (Burundi)	Protesters (Burundi)	7	17	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Bonesha FM radio	0	"-3.3772,29.358"
516	3094BUI	10477	06/05/2015	2015	1	Riots/Protests	Protesters (Burundi)		6	Police Forces of Burundi (2005-)		1	16	Burundi	Bujumbura Mairie	Kinindo		Kinondo	-3.40653	29.35421	1	Associated Press International	0	"-3.406532,29.354208"
516	3093BUI	10478	06/05/2015	2015	1	Strategic development	Police Forces of Burundi (2005-)		1	Civilians (Burundi)	Ombone Charisma Party	7	17	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Associated Press International	0	"-3.3772,29.358"
