EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	INTERACTION	COUNTRY	ADMIN1	ADMIN2	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	latlong
01/01/2015	2015	1	Battle-No change of territory	13	Burundi	Cibitoke	Murwi	-2.88610	29.20280	1	RPA; Radio France Internationale; Voix du Burundi	21	"-2.8861,29.2028"
01/01/2015	2015	1	Riots/Protests	15	Burundi	Kayanza	Kayanza	-2.92220	29.62220	3	RPA	0	"-2.9222,29.6222"
02/01/2015	2015	1	Battle-No change of territory	13	Burundi	Cibitoke	Bukinanyana	-2.90000	29.28750	1	RPA; Radio France Internationale; Voix du Burundi	21	"-2.9,29.2875"
02/01/2015	2015	1	Battle-No change of territory	13	Burundi	Cibitoke	Murwi	-2.88610	29.20280	1	RPA; Radio France Internationale; Voix du Burundi	21	"-2.8861,29.2028"
04/01/2015	2015	1	Violence against civilians	37	Burundi	Ruyigi	Ruyigi	-3.47970	30.22970	1	Xinhua News Agency - French	3	"-3.4797,30.2297"
11/01/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse	0	"-3.3772,29.358"
15/01/2015	2015	1	Strategic development	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse -- English	0	"-3.3772,29.358"
17/01/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Radio France Internationale	0	"-3.3772,29.358"
20/01/2015	2015	1	Strategic development	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse - English; Radio France Internationale	0	"-3.3772,29.358"
21/01/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Radio France Internationale	0	"-3.3772,29.358"
26/01/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Africa News	0	"-3.3772,29.358"
27/01/2015	2015	1	Battle-No change of territory	13	Burundi	Cibitoke	Rugombo	-2.89470	29.11390	2	Radio Publique Africaine; Radio France Internationale	23	"-2.8947,29.1139"
27/01/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Deutsche Welle	0	"-3.3772,29.358"
28/01/2015	2015	1	Battle-No change of territory	13	Burundi	Cibitoke	Rugombo	-2.89470	29.11390	2	Radio Publique Africaine; Radio France Internationale	24	"-2.8947,29.1139"
29/01/2015	2015	1	Battle-No change of territory	13	Burundi	Cibitoke	Rugombo	-2.89470	29.11390	2	Radio Publique Africaine; Radio France Internationale	24	"-2.8947,29.1139"
30/01/2015	2015	1	Battle-No change of territory	13	Burundi	Cibitoke	Rugombo	-2.89470	29.11390	2	Radio Publique Africaine; Radio France Internationale	24	"-2.8947,29.1139"
03/02/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse	0	"-3.3772,29.358"
04/02/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Radio France Internationale	0	"-3.3772,29.358"
18/02/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse - English	0	"-3.3772,29.358"
19/02/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Radio France Internationale; Agence France Presse - English	0	"-3.3772,29.358"
24/02/2015	2015	1	Riots/Protests	15	Burundi	Makamba	Nyanza-Lac	-4.22071	29.62198	1	Voix du Burundi	0	"-4.220706,29.621976"
28/02/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse -- English	0	"-3.3772,29.358"
03/03/2015	2015	2	Violence against civilians	37	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Voix du Burundi	0	"-3.3772,29.358"
04/03/2015	2015	1	Strategic development	37	Burundi	Bubanza	Gihanga	-3.18750	29.29330	1	Voix du Burundi	0	"-3.1875,29.2933"
05/03/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Radio France Internationale; Agence France Presse	0	"-3.3772,29.358"
08/03/2015	2015	1	Battle-No change of territory	13	Burundi	Ruyigi	Butaganzwa2	-3.55360	30.11080	1	Xinhua General News Service	0	"-3.5536,30.1108"
14/03/2015	2015	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse	0	"-3.3772,29.358"
28/03/2015	2015	2	Violence against civilians	37	Burundi	Bubanza	Gihanga	-3.27780	29.28030	1	Voix du Burundi	0	"-3.2778,29.2803"
01/04/2015	2015	2	Violence against civilians	37	Burundi	Kirundo	Kirundo	-2.58420	30.09720	2	The New Times (Kigali); Radio Publique Africaine; Relief Web	0	"-2.5842,30.0972"
10/04/2015	2015	1	Strategic development	37	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Voix du Burundi	0	"-3.4158,29.375"
11/04/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Jeune Afrique	0	"-3.3772,29.358"
11/04/2015	2015	1	Violence against civilians	37	Burundi	Bubanza	Gihanga	-3.18750	29.29330	1	Voix du Burundi	0	"-3.1875,29.2933"
15/04/2015	2015	2	Violence against civilians	37	Burundi	Cibitoke	Mugina	-2.75560	29.10690	1	Voix du Burundi	0	"-2.7556,29.1069"
17/04/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse; Xinhua General News Service	0	"-3.3772,29.358"
18/04/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Voix du Burundi	0	"-3.3772,29.358"
