"EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	INTERACTION	COUNTRY	ADMIN1	ADMIN2	LATITUDE	LONGITUDE	GEO_PRECISION	FATALITIES	latlong"
"01/01/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	0	""-3.3363,29.3788"""
"01/01/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Buterere	-3.34080	29.36030	1	0	""-3.3408,29.3603"""
"01/01/2016	2016	1	Strategic development	17	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	0	""-3.3733,29.3767"""
"02/01/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Rural	Carama	-3.30710	29.38130	1	1	""-3.3071,29.3813"""
"02/01/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	1	""-3.3527,29.37"""
"03/01/2016	2016	1	Violence against civilians	17	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	1	""-3.4158,29.375"""
"03/01/2016	2016	1	Violence against civilians	17	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	1	""-3.4158,29.375"""
"04/01/2016	2016	1	Remote violence	37	Burundi	Bujumbura Mairie	Bwiza	-3.37250	29.36500	2	0	""-3.3725,29.365"""
"04/01/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Jabe	-3.37099	29.37128	2	0	""-3.370986,29.371277"""
"09/01/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Jabe	-3.37099	29.37128	1	1	""-3.370986,29.371277"""
"09/01/2016	2016	1	Violence against civilians	17	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	1	""-3.3733,29.3767"""
"09/01/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	0	""-3.3733,29.3767"""
"10/01/2016	2016	2	Riots/Protests	15	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	0	""-3.3363,29.3788"""
"10/01/2016	2016	1	Violence against civilians	17	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	1	""-3.4158,29.375"""
"10/01/2016	2016	2	Riots/Protests	15	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	0	""-3.3527,29.37"""
"13/01/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	0	""-3.3363,29.3788"""
"13/01/2016	2016	1	Battle-No change of territory	11	Burundi	Bujumbura Rural	Kanyosha1	-3.45410	29.41260	1	2	""-3.4541,29.4126"""
"13/01/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Buterere	-3.34080	29.36030	1	5	""-3.3408,29.3603"""
