Organization,Province,Sector,type
American Friends Service Committee,Bubanza,Food Security and Livelihood,Int NGO
American Friends Service Committee,Rutana,Food Security and Livelihood,Int NGO
American Friends Service Committee,Makamba,Food Security and Livelihood,Int NGO
American Friends Service Committee,Bujumbura Mairie,Food Security and Livelihood,Int NGO
American Friends Service Committee,Cibitoke,Food Security and Livelihood,Int NGO
Association Health For Africa,Rutana,Health,Int NGO
Association Health For Africa,Makamba,Health,Int NGO
Association Health For Africa,Bujumbura Mairie,Health,Int NGO
Association Health For Africa,Bujumbura Mairie,Nutrition,Int NGO
Association Health For Africa,Bujumbura Mairie,Protection,Int NGO
Association Health For Africa,Bujumbura Mairie,Frontline Services to Refugees,Int NGO
Association Health For Africa,Cankuzo,Nutrition,Int NGO
Association Health For Africa,Cankuzo,Protection,Int NGO
Association Health For Africa,Cankuzo,Frontline Services to Refugees,Int NGO
Association Health For Africa,Cankuzo,Health,Int NGO
Association Health For Africa,Cibitoke,Nutrition,Int NGO
Association Health For Africa,Cibitoke,Protection,Int NGO
Association Health For Africa,Cibitoke,Frontline Services to Refugees,Int NGO
Association Health For Africa,Cibitoke,Health,Int NGO
Association Health For Africa,Muyinga,Nutrition,Int NGO
Association Health For Africa,Muyinga,Protection,Int NGO
Association Health For Africa,Muyinga,Frontline Services to Refugees,Int NGO
Association Health For Africa,Muyinga,Health,Int NGO
Association Health For Africa,Ruyigi,Nutrition,Int NGO
Association Health For Africa,Ruyigi,Protection,Int NGO
Association Health For Africa,Ruyigi,Frontline Services to Refugees,Int NGO
Association Health For Africa,Ruyigi,Health,Int NGO
Association Health For Africa,Ngozi,Nutrition,Int NGO
Association Health For Africa,Ngozi,Protection,Int NGO
Association Health For Africa,Ngozi,Frontline Services to Refugees,Int NGO
Association Health For Africa,Ngozi,Health,Int NGO
Avocat Sans Frontieres,Bujumbura Mairie,Frontline Services to Refugees,Int NGO
Avocat Sans Frontieres,Bujumbura Mairie,Protection,Int NGO
Avocat Sans Frontieres,Cankuzo,Frontline Services to Refugees,Int NGO
Avocat Sans Frontieres,Cankuzo,Protection,Int NGO
Avocat Sans Frontieres,Cibitoke,Frontline Services to Refugees,Int NGO
Avocat Sans Frontieres,Muyinga,Frontline Services to Refugees,Int NGO
Avocat Sans Frontieres,Muyinga,Protection,Int NGO
Avocat Sans Frontieres,Ngozi,Frontline Services to Refugees,Int NGO
Avocat Sans Frontieres,Ngozi,Protection,Int NGO
Avocat Sans Frontieres,Ruyigi,Frontline Services to Refugees,Int NGO
Avocat Sans Frontieres,Ruyigi,Protection,Int NGO
AVSI,Bujumbura Mairie,Protection,Int NGO
AVSI,Kayanza,Protection,Int NGO
AVSI,Ngozi,Protection,Int NGO
AVSI,Bujumbura Mairie,Education,Int NGO
AVSI,Kayanza,Education,Int NGO
AVSI,Ngozi,Education,Int NGO
Bibliotheque Sans Frontieres,Cankuzo,Education,Int NGO
Bibliotheque Sans Frontieres,Cankuzo,Protection,Int NGO
Bibliotheque Sans Frontieres,Ngozi,Education,Int NGO
Bibliotheque Sans Frontieres,Ngozi,Frontline Services to Refugees,Int NGO
Caritas International Belgique,Bujumbura Mairie,Frontline Services to Refugees,Int NGO
Caritas International Belgique,Bujumbura Mairie,Protection,Int NGO
Caritas International Belgique,Bujumbura Mairie,Shelter and NFI,Int NGO
Caritas International Belgique,Cankuzo,Frontline Services to Refugees,Int NGO
Caritas International Belgique,Cankuzo,Protection,Int NGO
Caritas International Belgique,Cankuzo,Food security and Livelihood,Int NGO
Caritas International Belgique,Cibitoke,Protection,Int NGO
Caritas International Belgique,Cibitoke,Food security and Livelihood,Int NGO
Caritas International Belgique,Cibitoke,Frontline Services to Refugees,Int NGO
Caritas International Belgique,Muyinga,Protection,Int NGO
Caritas International Belgique,Muyinga,Food security and Livelihood,Int NGO
Caritas International Belgique,Muyinga,Frontline Services to Refugees,Int NGO
Caritas International Belgique,Ngozi,Protection,Int NGO
Caritas International Belgique,Ngozi,Food security and Livelihood,Int NGO
Caritas International Belgique,Ngozi,Frontline Services to Refugees,Int NGO
Catholic Relief Services,Muyinga,Food security and Livelihood,Int NGO
Catholic Relief Services,Muyinga,Nutrition,Int NGO
Catholic Relief Services,Ngozi,Food security and Livelihood,Int NGO
Catholic Relief Services,Ngozi,Nutrition,Int NGO
Christian Aid,Bujumbura Rural,Health,Int NGO
Christian Aid,Bujumbura Mairie,Health,Int NGO
Christian Aid,Makamba,Health,Int NGO
Christian Aid,Rutana,Health,Int NGO
Christian Aid,Bururi,Health,Int NGO
Christian Aid,Makamba,Food security and Livelihood,Int NGO
Christian Aid,Bururi,Food security and Livelihood,Int NGO
Christian Aid,Rutana,Food security and Livelihood,Int NGO
Christian Aid,Kirundo,Food security and Livelihood,Int NGO
Christian Aid,Ngozi,Food security and Livelihood,Int NGO
Christian Aid,Kayanza,Food security and Livelihood,Int NGO
Christian Aid,Muyinga,Food security and Livelihood,Int NGO
Christian Aid,Bujumbura Mairie,Shelter and NFI,Int NGO
Christian Aid,Bujumbura Rural,Shelter and NFI,Int NGO
Christian Aid,Bururi,Shelter and NFI,Int NGO
Christian Aid,Makamba,Shelter and NFI,Int NGO
Christian Outreach Relief and Development,Bujumbura Rural,WASH,Int NGO
Christian Outreach Relief and Development,Bujumbura Rural,Food security and Livelihood,Int NGO
Christian Outreach Relief and Development,Bubanza,Food security and Livelihood,Int NGO
Christian Outreach Relief and Development,Bururi,Food security and Livelihood,Int NGO
Christian Outreach Relief and Development,Gitega,Food security and Livelihood,Int NGO
Christian Outreach Relief and Development,Rutana,Food security and Livelihood,Int NGO
Comitato Collaborazione Medica,Bujumbura Mairie,Health,Int NGO
Comitato Collaborazione Medica,Bujumbura Mairie,Protection,Int NGO
Comitato Collaborazione Medica,Cibitoke,Health,Int NGO
Comitato Collaborazione Medica,Cibitoke,Protection,Int NGO
Comitato Collaborazione Medica,Muramvya,Health,Int NGO
Comitato Collaborazione Medica,Muramvya,Protection,Int NGO
Concern Worldwide,Kirundo,Protection,Int NGO
Concern Worldwide,Cibitoke,Protection,Int NGO
Concern Worldwide,Kirundo,Nutrition,Int NGO
Concern Worldwide,Kirundo,Health,Int NGO
Concern Worldwide,Cibitoke,Health,Int NGO
Concern Worldwide,Bubanza,Shelter and NFI,Int NGO
Concern Worldwide,Bujumbura Mairie,Shelter and NFI,Int NGO
Concern Worldwide,Bujumbura Rural,Shelter and NFI,Int NGO
Concern Worldwide,Bururi,Shelter and NFI,Int NGO
Concern Worldwide,Cankuzo,Shelter and NFI,Int NGO
Concern Worldwide,Cibitoke,Shelter and NFI,Int NGO
Concern Worldwide,Gitega,Shelter and NFI,Int NGO
Concern Worldwide,Karuzi,Shelter and NFI,Int NGO
Concern Worldwide,Kayanza,Shelter and NFI,Int NGO
Concern Worldwide,Kirundo,Shelter and NFI,Int NGO
Concern Worldwide,Makamba,Shelter and NFI,Int NGO
Concern Worldwide,Muramvya,Shelter and NFI,Int NGO
Concern Worldwide,Muyinga,Shelter and NFI,Int NGO
Concern Worldwide,Mwaro,Shelter and NFI,Int NGO
Concern Worldwide,Ngozi,Shelter and NFI,Int NGO
Concern Worldwide,Rutana,Shelter and NFI,Int NGO
Concern Worldwide,Ruyigi,Shelter and NFI,Int NGO
Conseil pour l’Education et le Développement,Bubanza,Protection,Int NGO
Conseil pour l’Education et le Développement,Bubanza,Shelter and NFI,Int NGO
