YEAR,NAME,PIN,TAR,COMMITTED,FUNDED,UNMET,REFUGEES,IDPS,INFORM,FS,NUTRITION,HEALTH,WASH,EDUCATION,HAZARDS,VULNERABILITY,COPINGCAPACITY,COMMITTED2,FUNDED3,Total,Committedinmillions,Fundedinmillions,Totalinmillions,UNMET4,Unmetinmillions,RiskTrend
2011,BRN,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0.12,0.78,4.19,0,0,0,0,0,0,0,0,73
2012,BRN,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0.12,0.77,4.16,0,0,0,0,0,0,0,0,72
2013,BRN,0,0,0,0,0,0,76450,0.76,0,0,0,0,0,0.12,0.77,4.75,0,0,0,0,0,0,0,0,76
2014,BRN,0,0,0,0,0,54179,78948,0.76,0,0,0,0,0,0.12,0.79,4.62,0,0,0,0,0,0,0,0,76
2015,BRN,700000,0,307000000,106000000,204400000,54179,78948,0.76,700000,0,0,0,0,4.59,0.81,0.12,307000000,106000000,413000000,307,106,413,204400000,204,76
2016,BRN,330000,330000,376000000,44000000,313900000,53363,104029,4.6,689000,,,,,2.2,6.9,6.3,376000000,44000000,420000000,376,44,420,313900000,314,460
2011,DJI,210000,210000,33264338,19370114,13894224,20611,0,4.93,210000,172500,222500,1941000,0,2.81,5.74,7.43,33264338,19370114,52634452,33,19,53,13894224,14,493
2012,DJI,206000,206000,79310556,31661994,47648562,18658,0,4.94,206000,172500,222500,2500000,0,2.82,5.83,7.34,79310556,31661994,110972550,79,32,111,47648562,48,494
2013,DJI,139000,139000,663311782,370453728,292858054,19949,0,4.96,139000,344545,152000,2750000,0,2.89,5.82,7.26,663311782,370453728,1033765510,663,370,1034,292858054,293,496
2014,DJI,300000,250000,74085087,20563729,53521358,24425,0,4.65,257000,277786,300000,0,0,2.8,5.15,6.99,74085087,20563729,94648816,74,21,95,53521358,54,465
2015,DJI,140000,250000,82000000,17300000,64700000,17400,0,4.49,120000,277786,300000,0,0,6.76,4.81,2.79,82000000,17300000,99300000,82,17,99,64700000,65,449
2016,DJI,282417,237999,74000000,3000000,74000000,9939,0,4.4,230000,,,,,2.7,4.7,6.8,74000000,3000000,77000000,74,3,77,74000000,74,440
2011,ERI,0,0,0,0,0,0,0,4.75,0,0,0,0,0,2,6.76,7.92,0,0,0,0,0,0,0,0,475
2012,ERI,0,0,0,0,0,0,0,4.84,0,0,0,0,0,2.22,6.34,8.04,0,0,0,0,0,0,0,0,484
2013,ERI,0,0,0,0,0,0,0,4.7,0,0,0,0,0,2.1,6.23,7.94,0,0,0,0,0,0,0,0,470
2014,ERI,0,0,0,0,0,2902,0,4.67,0,0,0,0,0,2.18,6.01,7.77,0,0,0,0,0,0,0,0,467
2015,ERI,900000,900000,0,0,0,2972,0,4.62,0,0,0,0,0,7.75,5.75,2.22,0,0,0,0,0,0,0,0,462
2016,ERI,,,0,0,0,2534,0,4.8,0,,,,,2.5,5.6,7.9,0,0,0,0,0,0,0,0,480
2011,ETH,3500000,3500000,454400000,290600000,163800000,254905,325000,6.74,3500000,3500000,0,4000000,0,5.8,6.43,8.19,454400000,290600000,745000000,454,291,745,163800000,164,674
2012,ETH,3900000,3900000,189400000,133700000,55700000,367000,350000,6.55,3900000,3900000,0,4239188,0,5.25,6.6,8.12,189400000,133700000,323100000,189,134,323,55700000,56,655
2013,ETH,3900000,3900000,205000000,183500000,21500000,423851,416315,6.49,3900000,3900000,0,3300000,0,5.34,6.41,7.99,205000000,183500000,388500000,205,184,389,21500000,22,649
2014,ETH,2736490,2736490,451900000,271140000,180760000,660987,834959,6.58,2736490,264298,6800000,2750000,522799,5.32,6.43,8.33,451900000,271140000,723040000,452,271,723,180760000,181,658
2015,ETH,2900000,2900000,596000000,445000000,273922157,705000,470261,6.41,8200000,2400000,0,0,0,7.71,6.4,5.34,596000000,445000000,1041000000,596,445,1041,273922157,274,641
2016,ETH,10000000,10000000,1480000000,560000000,1400000000,731071,545771,6.4,10200000,,,,,5.4,6.6,7.3,1480000000,560000000,2040000000,1480,560,2040,1400000000,1400,640
2011,KEN,3750000,3750000,741818150,528690146,213128004,557340,309200,6.11,3750000,475000,7500000,2880000,1707000,5.16,6.15,7.21,741818150,528690146,1270508296,742,529,1271,213128004,213,611
2012,KEN,2100000,2100000,795005122,411119116,383886006,586068,309200,6.31,2200000,362000,3200000,3380000,1555000,5.13,6.83,7.16,795005122,411119116,1206124238,795,411,1206,383886006,384,631
2013,KEN,1700000,1700000,69982984,24753575,45229409,530959,309200,6.2,2100000,2999937,5000000,4500000,566217,5.78,6.72,6.13,69982984,24753575,94736559,70,25,95,45229409,45,620
2014,KEN,0,0,0,0,0,551352,309200,6.09,1506400,0,0,0,0,5.78,6.53,5.97,0,0,0,0,0,0,0,0,609
2015,KEN,1500000,1500000,0,0,0,593000,309200,6.21,1074000,0,0,0,0,6.57,6.32,5.78,0,0,0,0,0,0,0,0,621
2016,KEN,,,0,4000000,0,593881,309200,6.2,640000,,,,,5.8,6.1,6.6,0,4000000,4000000,0,4,4,0,0,620
2011,SDN,7071000,7071000,1132952016,741484812,391467204,0,0,7.81,7071000,7997190,11544400,0,8926000,6.99,8.31,8.18,1132952016,741484812,1874436828,1133,741,1874,391467204,391,781
2012,SDN,7000807,7000807,1052446405,505676232,546770173,142000,1765000,7.72,7000807,4420000,11058279,0,8346329,7.3,7.78,8.09,1052446405,505676232,1558122637,1052,506,1558,546770173,547,772
2013,SDN,7236500,4000000,985120878,549458369,435662509,163900,2900000,7.58,7236500,5078153,6059692,0,3080159,7.29,7.6,7.84,985120878,549458369,1534579247,985,549,1535,435662509,436,758
2014,SDN,6100000,6100000,985696822,549652696,436044126,287709,3100000,7.54,6100000,4600000,6100000,1258204,2700000,7.29,7.42,7.93,985696822,549652696,1535349518,986,550,1535,436044126,436,754
2015,SDN,5400000,5400000,1035894093,593500000,442394093,375729,3100000,7.24,3632534,0,0,0,0,7.26,7.18,7.29,1035894093,593500000,1629394093,1036,594,1629,442394093,442,724
2016,SDN,,,,,0,373049,3200000,7.2,4000000,,,,,7.1,7.1,7.3,,,0,0,0,0,0,0,720
2011,SOM,3200000,3200000,1003322063,868139570,135182493,2124,1460000,8.95,3200000,460893,1934000,210000,460000,8.64,8.72,9.52,1003322063,868139570,1871461633,1003,868,1871,135182493,135,895
2012,SOM,4097000,4097000,1164634356,589872503,574761853,2128,1360000,9.01,4097000,834800,4000000,206000,1800000,8.64,8.93,9.49,1164634356,589872503,1754506859,1165,590,1755,574761853,575,901
2013,SOM,3800000,3800000,1153087668,585736464,567351204,2339,1106000,8.97,4748000,1944500,7770000,400000,848000,8.64,8.79,9.5,1153087668,585736464,1738824132,1153,586,1739,567351204,567,897
2014,SOM,3180000,2000000,933070303,458027750,475042553,2669,1106751,9.01,3170000,756000,3170000,300000,1740000,8.63,8.85,9.57,933070303,458027750,1391098053,933,458,1391,475042553,475,901
2015,SOM,4900000,4907000,862579628,378000000,509354646,8414,1106000,8.83,855000,1300000,3200000,300000,1700000,9.55,8.36,8.63,862579628,378000000,1240579628,863,378,1241,509354646,509,883
2016,SOM,4900000,3500000,885000000,133000000,850000000,10150,1106751,8.7,950000,,,,,8.8,8.3,9.1,885000000,133000000,8983000000,885,133,8983,850000000,850,870
2011,SSD,2550000,2550000,619673235,377760780,241912455,207492,0,7.81,2550000,827551,3304197,0,754616,6.99,8.31,8.18,619673235,377760780,997434015,620,378,997,241912455,242,781
2012,SSD,4700000,4700000,1156130815,570658539,585472276,207492,170000,7.72,4700000,1194876,3587318,0,463707,7.3,7.78,8.09,1156130815,570658539,1726789354,1156,571,1727,585472276,585,772
2013,SSD,4500000,3000000,1072037430,773745283,298292147,224930,159134,6.96,4100000,3700000,3500000,0,255000,6.96,6.41,7.56,1072037430,773745283,1845782713,1072,774,1846,298292147,298,696
2014,SSD,11600000,11600000,1801753424,1435985168,365768256,248152,1504768,7.7,4300000,3600000,5800000,0,993300,6.96,7.47,8.77,1801753424,1435985168,3237738592,1802,1436,3238,365768256,366,770
2015,SSD,6400000,551000,3400000000,1896000000,598000000,645992,1778242,7.83,3900000,3142500,6375100,6400000,1732000,8.92,7.72,6.96,3400000000,1896000000,5296000000,3400,1896,5296,598000000,598,783
2016,SSD,6000000,5000000,1927000000,173200000,1300000000,263000,1690000,7.9,2840000,,,,,6.8,8.2,8.9,1927000000,173200000,2100200000,1927,173,2100,1300000000,1300,790
2011,UGA,0,0,0,0,0,133115,73239,5.74,814573,0,0,0,0,3.78,6.59,7.57,0,0,0,0,0,0,0,0,574
2012,UGA,0,0,0,0,0,172923,30136,6.28,0,0,0,0,0,5.43,6.09,7.49,0,0,0,0,0,0,0,0,628
2013,UGA,0,0,0,0,0,206985,30136,5.5,392000,0,0,0,0,3.63,6.06,7.58,0,0,0,0,0,0,0,0,550
2014,UGA,452523,452523,0,0,0,422435,30136,6.41,180000,452523,90000,0,20000,6.16,5.98,7.16,0,0,0,0,0,0,0,0,641
2015,UGA,23000,23000,0,0,0,467400,30136,6.41,294000,23000,30000,0,100000,7.15,5.99,6.16,0,0,0,0,0,0,0,0,641
2016,UGA,,,,18000000,0,477187,29776,6.4,130000,,,,,6.1,6.1,7.1,,18000000,18000000,0,18,18,0,0,640
2011,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,RWA,0,0,0,0,0,74337,0,0,265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,RWA,0,0,0,0,0,134830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,RWA,,,,,0,27973,0,4.4,0,,,,,2.6,5.9,5.4,,,0,0,0,0,0,0,440
