COUNTRY,HAZARDS,VULNERABILITY,COPINGCAPACITY,INFORMINDEX,YEAR
BRN,0.12,0.78,4.19,0.73,2011
DJI,2.81,5.74,7.43,4.93,2011
ERI,2,6.76,7.92,4.75,2011
ETH,5.8,6.43,8.19,6.74,2011
KEN,5.16,6.15,7.21,6.11,2011
SOM,8.64,8.72,9.52,8.95,2011
SSD,6.99,8.31,8.18,7.81,2011
SDN,6.99,8.31,8.18,7.81,2011
UGA,3.78,6.59,7.57,5.74,2011
BRN,0.12,0.77,4.16,0.72,2012
DJI,2.82,5.83,7.34,4.94,2012
ERI,2.22,6.34,8.04,4.84,2012
ETH,5.25,6.6,8.12,6.55,2012
KEN,5.13,6.83,7.16,6.31,2012
SOM,8.64,8.93,9.49,9.01,2012
SSD,7.3,7.78,8.09,7.72,2012
SDN,7.3,7.78,8.09,7.72,2012
UGA,5.43,6.09,7.49,6.28,2012
BRN,0.12,0.77,4.75,0.76,2013
DJI,2.89,5.82,7.26,4.96,2013
ERI,2.1,6.23,7.94,4.7,2013
ETH,5.34,6.41,7.99,6.49,2013
KEN,5.78,6.72,6.13,6.2,2013
SOM,8.64,8.79,9.5,8.97,2013
SSD,6.96,6.41,7.56,6.96,2013
SDN,7.29,7.6,7.84,7.58,2013
UGA,3.63,6.06,7.58,5.5,2013
BRN,0.12,0.79,4.62,0.76,2014
DJI,2.8,5.15,6.99,4.65,2014
ERI,2.18,6.01,7.77,4.67,2014
ETH,5.32,6.43,8.33,6.58,2014
KEN,5.78,6.53,5.97,6.09,2014
SOM,8.63,8.85,9.57,9.01,2014
SSD,6.96,7.47,8.77,7.7,2014
SDN,7.29,7.42,7.93,7.54,2014
UGA,6.16,5.98,7.16,6.41,2014
BRN,4.59,0.81,0.12,0.76,2015
DJI,6.76,4.81,2.79,4.49,2015
ERI,7.75,5.75,2.22,4.62,2015
ETH,7.71,6.40,5.34,6.41,2015
KEN,6.57,6.32,5.78,6.21,2015
SOM,9.55,8.36,8.63,8.83,2015
SSD,8.92,7.72,6.96,7.83,2015
SDN,7.26,7.18,7.29,7.24,2015
UGA,7.15,5.99,6.16,6.41,2015
