ADMIN1,COUNTRY,SF_NAME,ISO3,HAZARD,VULNERABILITY,COPING,RISK,POV,POP,TEST
Bubanza,Burundi,Bubanza,BDI,3.83,5.63,7.04,5.33,0.50,449755,0.00
Bujumbura Mairie,Burundi,Bujumbura Mairie,BDI,3.83,4.73,7.04,5.03,0.16,523364,1.00
Bujumbura Rural,Burundi,Bujumbura Rural,BDI,3.83,5.63,7.04,5.33,0.50,807061,2.00
Bururi,Burundi,Bururi,BDI,2.50,5.38,7.04,4.56,0.42,790989,3.00
Cankuzo,Burundi,Cankuzo,BDI,2.50,5.53,7.04,4.60,0.47,301662,4.00
Cibitoke,Burundi,Cibitoke,BDI,3.83,5.63,7.04,5.33,0.50,618295,5.00
Gitega,Burundi,Gitega,BDI,2.50,5.53,7.04,4.60,0.47,930400,6.00
Karuzi,Burundi,Karuzi,BDI,2.50,5.53,7.04,4.60,0.47,596684,7.00
Kayanza,Burundi,Kayanza,BDI,3.54,5.64,7.04,5.20,0.50,829008,8.00
Kirundo,Burundi,Kirundo,BDI,3.54,5.64,7.04,5.20,0.50,857768,9.00
Makamba,Burundi,Makamba,BDI,2.50,5.38,7.04,4.56,0.42,592785,10.00
Muramvya,Burundi,Muramvya,BDI,2.50,5.53,7.04,4.60,0.47,415271,0.00
Muyinga,Burundi,Muyinga,BDI,2.50,5.64,7.04,4.63,0.50,841266,1.00
Mwaro,Burundi,Mwaro,BDI,2.50,5.38,7.04,4.56,0.42,375571,2.00
Ngozi,Burundi,Ngozi,BDI,2.50,5.64,7.04,4.63,0.50,896523,3.00
Rutana,Burundi,Rutana,BDI,2.50,5.38,7.04,4.56,0.42,462989,4.00
Ruyigi,Burundi,Ruyigi,BDI,2.50,5.53,7.04,4.60,0.47,545098,5.00
Ali Sabieh,Djibouti,Ali Sabieh,DJI,1.95,4.30,6.31,3.75,0.21,85100,6.00
Dikhil,Djibouti,Dikhil,DJI,2.58,4.96,6.31,4.32,0.21,87818,7.00
Djibouti,Djibouti,Djibouti,DJI,5.25,4.75,6.31,5.40,0.13,455962,8.00
Obock,Djibouti,Obock,DJI,2.08,4.96,6.31,4.03,0.21,24688,9.00
Tadjourah,Djibouti,Tadjourah,DJI,3.08,2.91,6.31,3.84,0.21,78885,10.00
Anseba,Eritrea,Anseba,ERI,1.66,5.30,8.22,4.16,,904222,0.00
Debub,Eritrea,Debub,ERI,2.75,5.30,8.22,4.93,,1640736,1.00
Debubawi Keih Bahri,Eritrea,Debubawi Keih Bahri,ERI,0.89,5.30,8.22,3.38,,130985,2.00
Gash Barka,Eritrea,Gash Barka,ERI,1.22,5.30,8.22,3.76,,1393025,3.00
Maekel,Eritrea,Maekel,ERI,0.40,5.30,8.22,2.60,,1185824,4.00
Semenawi Keih Bahri,Eritrea,Semienawi Keih Bahri,ERI,2.54,5.30,8.22,4.80,,997938,5.00
Addis Ababa,Ethiopia,Addis Ababa,ETH,3.98,2.76,7.66,4.38,0.08,3685376,6.00
Afar,Ethiopia,Afar,ETH,7.54,6.13,7.66,7.07,0.66,1833208,7.00
Amhara,Ethiopia,Amhara,ETH,6.74,4.80,7.66,6.28,0.59,24217540,8.00
Benishangul Gumuz,Ethiopia,Benishangul Gumuz,ETH,4.29,4.98,7.66,5.47,0.58,941229,9.00
Dire Dawa,Ethiopia,Dire Dawa,ETH,4.66,3.51,7.66,5.00,0.34,441930,10.00
Gambella,Ethiopia,Gambella,ETH,6.54,6.03,7.66,6.71,0.47,313263,0.00
Harari,Ethiopia,Harari,ETH,4.77,3.91,7.66,5.23,0.33,232997,1.00
Oromiya,Ethiopia,Oromiya,ETH,7.49,5.15,7.66,6.66,0.59,33013216,2.00
SNNPR,Ethiopia,SNNPR,ETH,6.43,4.80,7.66,6.18,0.57,18043968,3.00
Somali,Ethiopia,Somali,ETH,7.83,6.60,7.66,7.34,0.65,5707987,4.00
Tigray,Ethiopia,Tigray,ETH,6.09,4.81,7.66,6.08,0.54,5398226,5.00
Baringo,Kenya,Baringo,KEN,7.37,4.71,6.71,6.16,0.25,643666,6.00
Bomet,Kenya,Bomet,KEN,7.22,3.79,6.71,5.68,0.25,1024007,7.00
Bungoma,Kenya,Bungoma,KEN,6.04,4.15,6.71,5.52,0.25,1583780,8.00
Busia,Kenya,Busia,KEN,6.42,4.48,6.71,5.78,0.25,836048,9.00
Keiyo-Marakwet,Kenya,Elgeyo-Marakwet,KEN,7.13,3.83,6.71,5.68,0.25,422191,10.00
Embu,Kenya,Embu,KEN,6.51,4.07,6.71,5.62,0.25,590774,0.00
Garissa,Kenya,Garissa,KEN,7.79,7.68,6.71,7.38,0.52,694797,1.00
Homa Bay,Kenya,Homa Bay,KEN,5.59,4.51,6.71,5.53,0.24,1089484,2.00
Isiolo,Kenya,Isiolo,KEN,6.26,6.04,6.71,6.33,0.25,170299,3.00
Kajiado,Kenya,Kajiado,KEN,6.89,3.80,6.71,5.60,0.25,786651,4.00
Kakamega,Kenya,Kakamega,KEN,6.19,4.10,6.71,5.54,0.25,1857751,5.00
Kericho,Kenya,Kericho,KEN,7.24,4.03,6.71,5.81,0.25,685376,6.00
Kiambu,Kenya,Kiambu,KEN,5.20,3.33,6.71,4.88,0.13,1793697,7.00
Kilifi,Kenya,Kilifi,KEN,7.99,4.49,6.71,6.22,0.25,1229957,8.00
Kirinyaga,Kenya,Kirinyaga,KEN,6.22,3.33,6.71,5.18,0.13,590259,9.00
Kisii,Kenya,Kisii,KEN,4.62,3.99,6.71,4.99,0.24,1302029,10.00
Kisumu,Kenya,Kisumu,KEN,6.73,3.97,6.71,5.64,0.24,1120922,0.00
Kitui,Kenya,Kitui,KEN,6.64,5.24,6.71,6.16,0.25,1152009,1.00
Kwale,Kenya,Kwale,KEN,7.83,5.43,6.71,6.58,0.25,751748,2.00
Laikipia,Kenya,Laikipia,KEN,6.78,3.95,6.71,5.65,0.25,421736,3.00
Lamu,Kenya,Lamu,KEN,7.15,4.36,6.71,5.94,0.25,111252,4.00
Machakos,Kenya,Machakos,KEN,7.18,3.91,6.71,5.73,0.25,1262873,5.00
Makueni,Kenya,Makueni,KEN,7.54,4.13,6.71,5.94,0.25,991237,6.00
Mandera,Kenya,Mandera,KEN,7.02,6.74,6.71,6.82,0.52,1176228,7.00
Marsabit,Kenya,Marsabit,KEN,6.25,6.04,6.71,6.33,0.25,326640,8.00
Meru,Kenya,Meru,KEN,5.94,3.99,6.71,5.42,0.25,1523605,9.00
Migori,Kenya,Migori,KEN,6.45,4.42,6.71,5.76,0.24,1036534,10.00
Mombasa,Kenya,Mombasa,KEN,8.05,3.92,6.71,5.96,0.25,1015254,0.00
Murang'a,Kenya,Murang'a,KEN,5.07,3.36,6.71,4.85,0.13,1082400,1.00
