TITLE,DONOR,COMMITTED,SECTOR,IMPLEMENTING,COUNTY,BUDGET,STATUS
Kenya Integrated Climate Risk Management Project,Swedish Embassy,5000000,Climate proofed infrastructure,UNDP,Baringo,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Embu,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Garissa,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Isiolo,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Kajiado,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Kilifi,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Kitui,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Kwale,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Laikipia,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Lamu,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Makueni,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Mandera,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Marsabit,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Meru,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Narok,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Nyeri,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Samburu,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Taita Taveta,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Tana River,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Tharaka,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Turkana,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,Wajir,21739,Ongoing
Kenya Integrated Climate Risk Management Project,Swedish Embassy,,Climate proofed infrastructure,UNDP,West Pokot,21739,Ongoing
Academic Model Providing Access to Health Care,USAID,25563400,Health and Nutrition,Moi Teaching and Referral Hospital,Baringo,3195430,Planned
Academic Model Providing Access to Health Care,USAID,,Health and Nutrition,Moi Teaching and Referral Hospital,Bungoma,3195430,Planned
Academic Model Providing Access to Health Care,USAID,,Health and Nutrition,Moi Teaching and Referral Hospital,Busia,3195430,Planned
Academic Model Providing Access to Health Care,USAID,,Health and Nutrition,Moi Teaching and Referral Hospital,Elgeyo Marakwet,3195430,Planned
Academic Model Providing Access to Health Care,USAID,,Health and Nutrition,Moi Teaching and Referral Hospital,Kisumu,3195430,Planned
Academic Model Providing Access to Health Care,USAID,,Health and Nutrition,Moi Teaching and Referral Hospital,Nandi,3195430,Planned
Academic Model Providing Access to Health Care,USAID,,Health and Nutrition,Moi Teaching and Referral Hospital,Trans Nzoia,3195430,Planned
Academic Model Providing Access to Health Care,USAID,,Health and Nutrition,Moi Teaching and Referral Hospital,Uasin Gishu,3195430,Planned
Accelerating Progress Against TB in Kenya,USAID,3670000,Health and Nutrition,Government of Kenya,Kisumu,917500,Completed
Accelerating Progress Against TB in Kenya,USAID,,Health and Nutrition,Government of Kenya,Mombasa,917500,Completed
Accelerating Progress Against TB in Kenya,USAID,,Health and Nutrition,Government of Kenya,Nairobi ,917500,Completed
KRDP Conservation Agriculture in semi arid areas,EU,13000000,Sustainable Livelihoods,FAO,Baringo,1444440,Ongoing
KRDP Conservation Agriculture in semi arid areas,EU,,Sustainable Livelihoods,FAO,Mandera,1444440,Ongoing
KRDP Conservation Agriculture in semi arid areas,EU,,Sustainable Livelihoods,FAO,Marsabit,1444440,Ongoing
KRDP Conservation Agriculture in semi arid areas,EU,,Sustainable Livelihoods,FAO,Samburu,1444440,Ongoing
KRDP Conservation Agriculture in semi arid areas,EU,,Sustainable Livelihoods,FAO,Tana River,1444440,Ongoing
KRDP Conservation Agriculture in semi arid areas,EU,,Sustainable Livelihoods,FAO,Turkana,1444440,Ongoing
KRDP Conservation Agriculture in semi arid areas,EU,,Sustainable Livelihoods,FAO,Wajir,1444440,Ongoing
KRDP Conservation Agriculture in semi arid areas,EU,,Sustainable Livelihoods,FAO,West Pokot,1444440,Ongoing
SHARE - Contributing Towards the Nutritional Wellbeing of Deprived Children & Women in Kenya,EU,21850000,Health and Nutrition,UNICEF,Kilifi,2427780,Ongoing
