YEAR,COUNTRY,PIN,TAR,SECTOR
2011,KEN,0,0,total
2011,SOM,0,0,total
2011,SUD,0,0,total
2011,SSD,0,0,total
2011,DJI,0,0,total
2011,ETH,0,0,total
2012,KEN,2100000,0,total
2012,SOM,0,0,total
2012,SUD,0,0,total
2012,SSD,0,0,total
2012,DJI,0,0,total
2012,ETH,0,0,total
2013,KEN,1700000,1700000,total
2013,SOM,3800000,0,total
2013,SUD,0,4000000,total
2013,SSD,4500000,3000000,total
2013,DJI,0,0,total
2013,ETH,0,0,total
2014,SOM,3180000,2000000,total
2014,SUD,6100000,0,total
2014,SSD,11600000,0,total
2014,DJI,300000,250000,total
2014,ETH,0,0,total
2014,UGA,0,0,total
2015,SOM,3200000,2760000,total
2015,SUD,0,5400000,total
2015,UGA,821000,551000,total
2015,DJI,300000,250000,total
2015,KEN,0,0,total
2011,KEN,3750000,3750000,food security
2011,SOM,3200000,2600000,food security
2011,SUD,7071000,3560000,food security
2011,SSD,2550000,1206000,food security
2011,DJI,210000,179000,food security
2011,ETH,0,0,food security
2012,KEN,2200000,2200000,food security
2012,SOM,4097000,2834821,food security
2012,SUD,7000807,5098823,food security
2012,SSD,4700000,2414930,food security
2012,DJI,206000,175000,food security
2012,ETH,0,0,food security
2013,KEN,2100000,1981000,food security
2013,SOM,4748000,3995000,food security
2013,SUD,7236500,5515210,food security
2013,SSD,4100000,2200000,food security
2013,DJI,139000,139000,food security
2013,ETH,0,0,food security
2014,SOM,3170000,3170000,food security
2014,SUD,6100000,5400000,food security
2014,SSD,4300000,2400000,food security
2014,DJI,257000,142000,food security
2014,ETH,2736490,0,food security
2014,SSRP,0,0,food security
2015,SOM,3200000,2760000,food security
2015,SUD,0,4200000,food security
2015,UGA,0,0,food security
2015,DJI,257000,142000,food security
2015,KEN,0,0,food security
2011,KEN,475000,475000,Nutrition
2011,SOM,460893,0,Nutrition
2011,SUD,7997190,5101500,Nutrition
2011,SSD,827551,278357,Nutrition
2011,DJI,172500,107000,Nutrition
2011,ETH,3500000,0,Nutrition
2012,KEN,362000,362000,Nutrition
2012,SOM,834800,473000,Nutrition
2012,SUD,4420000,2812000,Nutrition
2012,SSD,1194876,817992,Nutrition
2012,DJI,172500,107000,Nutrition
2012,ETH,3900000,0,Nutrition
2013,KEN,2999937,2262668,Nutrition
2013,SOM,1944500,591000,Nutrition
2013,SUD,5078153,3403637,Nutrition
2013,SSD,3700000,2500000,Nutrition
2013,DJI,344545,149121,Nutrition
2013,ETH,3900000,0,Nutrition
2014,SOM,756000,660000,Nutrition
2014,SUD,4600000,899000,Nutrition
2014,SSD,3600000,3100000,Nutrition
2014,DJI,277786,196306,Nutrition
2014,ETH,264298,0,Nutrition
2014,UGA,452523,232330,Nutrition
2015,SOM,1300000,660000,Nutrition
2015,SUD,0,1200000,Nutrition
2015,UGA,23000,17000,Nutrition
2015,DJI,277786,196306,Nutrition
2015,KEN,0,0,Nutrition
2011,KEN,7500000,3700000,Health
2011,SOM,1934000,1934000,Health
2011,SUD,11544400,11544400,Health
2011,SSD,3304197,3316425,Health
2011,DJI,222500,164800,Health
2011,ETH,0,0,Health
2012,KEN,3200000,900000,Health
2012,SOM,4000000,3000000,Health
2012,SUD,11058279,11058279,Health
2012,SSD,3587318,3587318,Health
2012,DJI,222500,164800,Health
2012,ETH,0,0,Health
2013,KEN,5000000,4500000,Health
2013,SOM,7770000,3549955,Health
2013,SUD,6059692,4244322,Health
2013,SSD,3500000,1900000,Health
2013,DJI,152000,152000,Health
2013,ETH,0,0,Health
2014,SOM,3170000,1770000,Health
2014,SUD,6100000,5100000,Health
2014,SSD,5800000,3100000,Health
2014,DJI,300000,189000,Health
2014,ETH,6800000,0,Health
2014,UGA,90000,70000,Health
2015,SOM,3200000,1870000,Health
2015,SUD,0,0,Health
2015,UGA,30000,0,Health
2015,DJI,300000,189624,Health
2015,KEN,0,0,Health
2011,KEN,2880000,0,WASH
2011,SOM,210000,179000,WASH
2011,SUD,0,0,WASH
2011,SSD,0,0,WASH
2011,DJI,1941000,1959000,WASH
2011,ETH,4000000,2600000,WASH
2012,KEN,3380000,2610000,WASH
2012,SOM,206000,175000,WASH
2012,SUD,0,0,WASH
2012,SSD,0,0,WASH
2012,DJI,2500000,2500000,WASH
2012,ETH,4239188,1950398,WASH
2013,KEN,4500000,2600000,WASH
2013,SOM,400000,152000,WASH
2013,SUD,0,0,WASH
2013,SSD,0,0,WASH
2013,DJI,2750000,1650000,WASH
2013,ETH,3300000,3000000,WASH
2014,SOM,300000,139000,WASH
2014,SUD,1258204,0,WASH
2014,SSD,0,0,WASH
2014,DJI,0,0,WASH
2014,ETH,2750000,1750000,WASH
2014,SSRP,0,0,WASH
2015,SOM,300000,139000,WASH
2015,SUD,0,0,WASH
2015,SSD,0,0,WASH
2015,DJI,0,0,WASH
2015,KEN,0,0,WASH
2011,KEN,1707000,1037000,Education
2011,SOM,460000,435000,Education
2011,SUD,8926000,1240000,Education
2011,SSD,754616,228217,Education
2011,DJI,0,0,Education
2011,ETH,0,0,Education
2012,KEN,1555000,871000,Education
2012,SOM,1800000,609940,Education
2012,SUD,8346329,1740998,Education
2012,SSD,463707,324594,Education
2012,DJI,0,0,Education
2012,ETH,0,0,Education
2013,KEN,566217,340752,Education
2013,SOM,848000,600000,Education
2013,SUD,3080159,1027198,Education
2013,SSD,255000,178000,Education
